,MEDIO_PREDOMINANTE,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,tiempo_recorrido,distancia_km,velocidad km/h
6759,AUTO,4.603103809664,5.0252154,-74.121352200558,-74.0011074,03:00:00,3.0,48.84574264557811,16.281914215192703
8132,OTROS,4.6206315006303,5.0252154,-74.194025049608,-74.0011074,01:15:00,1.25,49.86350466801058,39.890803734408465
9734,Transmilenio,4.6518981722449,5.0252154,-74.063050449937,-74.0011074,02:06:00,2.1,42.12170387337542,20.057954225416864
12213,INTERMUNICIPAL,4.627427336643,5.0252154,-74.068413826869,-74.0011074,02:00:00,2.0,44.90659443207028,22.45329721603514
12383,ESPECIAL,4.6311891172937,5.0252154,-74.065681055298,-74.0011074,01:00:00,1.0,44.443853510125706,44.443853510125706
13018,ESPECIAL,4.5885800942671,5.0252154,-74.178219471361,-74.0011074,02:00:00,2.0,52.426540881133015,26.213270440566507
15282,Transmilenio,4.5843410361557,5.0252154,-74.134217695703,-74.0011074,01:40:00,1.6666666666666665,51.25107386644985,30.750644319869913
16341,ESPECIAL,4.5895559109034,5.0252154,-74.179009932985,-74.0011074,02:00:00,2.0,52.35882553426158,26.17941276713079
19147,AUTO,4.6099699683776,5.0252154,-74.070236369214,-74.0011074,01:02:00,1.0333333333333334,46.85668646403523,45.34518044906635
19365,AUTO,4.7430492795086,5.0252154,-74.041142628959,-74.0011074,01:30:00,1.5,31.722953543681182,21.148635695787455
19367,AUTO,4.7430492795086,5.0252154,-74.041142628959,-74.0011074,02:35:00,2.5833333333333335,31.722953543681182,12.279852984650779
19605,"BICICLETA, BICICLETA CON MOTOR",4.6047465883465,5.0252154,-74.083336196908,-74.0011074,03:11:00,3.183333333333333,47.68690860563175,14.980180713811022
22082,INTERMUNICIPAL,4.7524336731216,5.0252154,-74.048493362582,-74.0011074,02:00:00,2.0,30.81744536212603,15.408722681063015
22084,INTERMUNICIPAL,4.7340543303896,5.0252154,-74.021646899485,-74.0011074,02:43:00,2.716666666666667,32.49190729896833,11.960211275693863
27192,OTROS,4.7484439163392,5.0252154,-74.05835049945,-74.0011074,01:00:00,1.0,31.457485936785417,31.457485936785417
27834,Transmilenio,4.7539358904601,5.0252154,-74.090720859082,-74.0011074,02:35:00,2.5833333333333335,31.792384819308737,12.306729607474349
30598,TPC-SITP,4.6005489026588,5.0252154,-74.190775223212,-74.0011074,02:01:00,2.0166666666666666,51.744126871067316,25.658244729454868
37480,AUTO,4.7584351045018,5.0252154,-74.05559593988,-74.0011074,00:50:00,0.8333333333333334,30.30657907692529,36.367894892310346
40176,TPC-SITP,4.75646348097,5.0252154,-74.1029424234,-74.0011074,02:54:00,2.9,31.978502107857878,11.027069692364785
48085,ILEGAL,4.565490974019248,5.0252154,-74.18502683539901,-74.0011074,01:13:00,1.2166666666666668,55.09324552609276,45.28211961048719
48266,AUTO,4.6984248596278,5.0252154,-74.119646016419,-74.0011074,01:30:00,1.5,38.68136754174691,25.787578361164606
52671,ESPECIAL,4.6529321439467,5.0252154,-74.087089954392,-74.0011074,01:30:00,1.5,42.525728683368165,28.35048578891211
53416,TPC-SITP,4.5554947862229,5.0252154,-74.122510492148,-74.0011074,00:39:00,0.65,53.995562949619085,83.07009684556782
54091,TPC-SITP,4.6061050450113,5.0252154,-74.082353284357,-74.0011074,03:48:00,3.8,47.5176853196287,12.504654031481236
54198,Transmilenio,4.6973087502212,5.0252154,-74.107687928071,-74.0011074,02:30:00,2.5,38.36904777358889,15.347619109435556
54672,AUTO,4.55936575243,5.0252154,-74.1419383122,-74.0011074,01:12:00,1.2,54.16025515309505,45.13354596091254
54683,AUTO,4.541990031751,5.0252154,-74.14172245156,-74.0011074,01:15:00,1.25,56.00845896434168,44.80676717147334
54804,AUTO,4.5528291658547,5.0252154,-74.142955277368,-74.0011074,01:13:00,1.2166666666666668,54.889633393686026,45.11476717289262
55124,TPC-SITP,4.7974380447998,5.0252154,-74.03838007455,-74.0011074,02:54:00,2.9,25.690870728847948,8.85892094098205
55738,Transmilenio,4.6413700955616,5.0252154,-74.064862490711,-74.0011074,02:10:00,2.1666666666666665,43.310784225925445,19.9895927196579
59221,TPC-SITP,4.7162519148332,5.0252154,-74.099472592527,-74.0011074,02:07:00,2.1166666666666667,36.082737542776016,17.04696261863434
60216,Transmilenio,4.5956694933864,5.0252154,-74.072167567295,-74.0011074,02:25:00,2.4166666666666665,48.46224374735799,20.053342240286064
62122,AUTO,4.9191986,5.0252154,-74.0257644,-74.0011074,00:30:00,0.5,12.114400517096264,24.22880103419253
62124,AUTO,4.9191986,5.0252154,-74.0257644,-74.0011074,00:27:00,0.45,12.114400517096264,26.920890037991697
62336,AUTO,4.8087332,5.0252154,-74.1026423,-74.0011074,00:39:00,0.65,26.600064605375675,40.92317631596257
62476,ESPECIAL,4.8087332,5.0252154,-74.1026423,-74.0011074,01:35:00,1.5833333333333335,26.600064605375675,16.800040803395163
62718,AUTO,4.9191986,5.0252154,-74.0257644,-74.0011074,00:30:00,0.5,12.114400517096264,24.22880103419253
62906,AUTO,4.9191986,5.0252154,-74.0257644,-74.0011074,01:00:00,1.0,12.114400517096264,12.114400517096264
62918,AUTO,4.9191986,5.0252154,-74.0257644,-74.0011074,01:00:00,1.0,12.114400517096264,12.114400517096264
62996,TPC-SITP,4.9956821,5.0252154,-73.8733368,-74.0011074,01:00:00,1.0,14.545440079022296,14.545440079022296
63002,MOTO,4.8648572,5.0252154,-74.047458,-74.0011074,00:35:00,0.5833333333333334,18.57642995976313,31.845308502451076
63008,TPC-SITP,4.9956821,5.0252154,-73.8733368,-74.0011074,01:06:00,1.1,14.545440079022296,13.223127344565722
63012,TPC-SITP,4.9956821,5.0252154,-73.8733368,-74.0011074,01:00:00,1.0,14.545440079022296,14.545440079022296
63205,AUTO,4.8087332,5.0252154,-74.1026423,-74.0011074,01:29:00,1.4833333333333334,26.600064605375675,17.93262782384877
63493,ESPECIAL,4.8087332,5.0252154,-74.1026423,-74.0011074,01:00:00,1.0,26.600064605375675,26.600064605375675
63516,TPC-SITP,4.9191986,5.0252154,-74.0257644,-74.0011074,00:55:00,0.9166666666666666,12.114400517096264,13.215709655014107
63668,"BICICLETA, BICICLETA CON MOTOR",4.8087332,5.0252154,-74.1026423,-74.0011074,02:46:00,2.7666666666666666,26.600064605375675,9.614481182665907
63702,INTERMUNICIPAL,4.9191986,5.0252154,-74.0257644,-74.0011074,00:30:00,0.5,12.114400517096264,24.22880103419253
63742,TPC-SITP,4.9191986,5.0252154,-74.0257644,-74.0011074,01:09:00,1.15,12.114400517096264,10.534261319214144
64019,"BICICLETA, BICICLETA CON MOTOR",4.9956821,5.0252154,-73.8733368,-74.0011074,01:30:00,1.5,14.545440079022296,9.696960052681531
64395,INTERMUNICIPAL,4.9956821,5.0252154,-73.8733368,-74.0011074,01:00:00,1.0,14.545440079022296,14.545440079022296
64543,AUTO,4.9956821,5.0252154,-73.8733368,-74.0011074,01:00:00,1.0,14.545440079022296,14.545440079022296
64859,ESPECIAL,4.9956821,5.0252154,-73.8733368,-74.0011074,00:30:00,0.5,14.545440079022296,29.09088015804459
64954,ILEGAL,4.9956821,5.0252154,-73.8733368,-74.0011074,01:00:00,1.0,14.545440079022296,14.545440079022296
65159,MOTO,4.9191986,5.0252154,-74.0257644,-74.0011074,00:35:00,0.5833333333333334,12.114400517096264,20.767543743593595
65161,ESPECIAL,4.9956821,5.0252154,-73.8733368,-74.0011074,00:30:00,0.5,14.545440079022296,29.09088015804459
65557,MOTO,4.9191986,5.0252154,-74.0257644,-74.0011074,02:00:00,2.0,12.114400517096264,6.057200258548132
65689,INTERMUNICIPAL,4.8648572,5.0252154,-74.047458,-74.0011074,01:37:00,1.6166666666666667,18.57642995976313,11.490575232843172
65822,AUTO,4.9191986,5.0252154,-74.0257644,-74.0011074,00:30:00,0.5,12.114400517096264,24.22880103419253
65906,INTERMUNICIPAL,4.8648572,5.0252154,-74.047458,-74.0011074,00:45:00,0.75,18.57642995976313,24.768573279684173
65940,INTERMUNICIPAL,4.8648572,5.0252154,-74.047458,-74.0011074,00:40:00,0.6666666666666666,18.57642995976313,27.864644939644695
66233,AUTO,4.9191986,5.0252154,-74.0257644,-74.0011074,00:16:00,0.26666666666666666,12.114400517096264,45.42900193911099
66598,AUTO,4.9191986,5.0252154,-74.0257644,-74.0011074,00:40:00,0.6666666666666666,12.114400517096264,18.171600775644396
66604,AUTO,4.9191986,5.0252154,-74.0257644,-74.0011074,00:40:00,0.6666666666666666,12.114400517096264,18.171600775644396
66618,INTERMUNICIPAL,4.9956821,5.0252154,-73.8733368,-74.0011074,00:50:00,0.8333333333333334,14.545440079022296,17.454528094826752
66629,Transmilenio,4.8648572,5.0252154,-74.047458,-74.0011074,01:30:00,1.5,18.57642995976313,12.384286639842086
66720,INTERMUNICIPAL,4.9956821,5.0252154,-73.8733368,-74.0011074,00:43:00,0.7166666666666667,14.545440079022296,20.295962900961342
66804,ESPECIAL,4.7200905,5.0252154,-73.9691749,-74.0011074,01:46:00,1.7666666666666666,34.1505566169071,19.330503745419115
67046,AUTO,4.9956821,5.0252154,-73.8733368,-74.0011074,00:20:00,0.3333333333333333,14.545440079022296,43.63632023706689
67215,ESPECIAL,4.9191986,5.0252154,-74.0257644,-74.0011074,02:01:00,2.0166666666666666,12.114400517096264,6.007140752279139
67491,ESPECIAL,4.7200905,5.0252154,-73.9691749,-74.0011074,01:46:00,1.7666666666666666,34.1505566169071,19.330503745419115
67825,TPC-SITP,4.9191986,5.0252154,-74.0257644,-74.0011074,01:43:00,1.7166666666666668,12.114400517096264,7.0569323400560755
67859,ESPECIAL,4.9191986,5.0252154,-74.0257644,-74.0011074,00:44:00,0.7333333333333333,12.114400517096264,16.519637068767633
67895,ESPECIAL,4.9191986,5.0252154,-74.0257644,-74.0011074,00:44:00,0.7333333333333333,12.114400517096264,16.519637068767633
68154,TPC-SITP,4.9191986,5.0252154,-74.0257644,-74.0011074,01:43:00,1.7166666666666668,12.114400517096264,7.0569323400560755
68502,INTERMUNICIPAL,4.9191986,5.0252154,-74.0257644,-74.0011074,00:40:00,0.6666666666666666,12.114400517096264,18.171600775644396
68562,"BICICLETA, BICICLETA CON MOTOR",4.7335737,5.0252154,-74.2643772,-74.0011074,00:55:00,0.9166666666666666,43.665719724921985,47.635330609005806
68753,Transmilenio,4.4914494,5.0252154,-74.259146,-74.0011074,03:10:00,3.1666666666666665,65.95454600615756,20.827751370365544
69500,INTERMUNICIPAL,4.9191986,5.0252154,-74.0257644,-74.0011074,00:30:00,0.5,12.114400517096264,24.22880103419253
70083,TPC-SITP,4.9191986,5.0252154,-74.0257644,-74.0011074,01:43:00,1.7166666666666668,12.114400517096264,7.0569323400560755
70095,AUTO,4.9191986,5.0252154,-74.0257644,-74.0011074,00:30:00,0.5,12.114400517096264,24.22880103419253
70837,INTERMUNICIPAL,4.9191986,5.0252154,-74.0257644,-74.0011074,01:00:00,1.0,12.114400517096264,12.114400517096264
70877,AUTO,4.9956821,5.0252154,-73.8733368,-74.0011074,01:00:00,1.0,14.545440079022296,14.545440079022296
71057,INTERMUNICIPAL,4.8087332,5.0252154,-74.1026423,-74.0011074,01:00:00,1.0,26.600064605375675,26.600064605375675
71061,INTERMUNICIPAL,4.8087332,5.0252154,-74.1026423,-74.0011074,01:00:00,1.0,26.600064605375675,26.600064605375675
71347,INTERMUNICIPAL,4.9956821,5.0252154,-73.8733368,-74.0011074,01:00:00,1.0,14.545440079022296,14.545440079022296
71506,INTERMUNICIPAL,4.9956821,5.0252154,-73.8733368,-74.0011074,01:00:00,1.0,14.545440079022296,14.545440079022296
71613,AUTO,4.9956821,5.0252154,-73.8733368,-74.0011074,02:00:00,2.0,14.545440079022296,7.272720039511148
71901,INTERMUNICIPAL,4.8087332,5.0252154,-74.1026423,-74.0011074,01:20:00,1.3333333333333333,26.600064605375675,19.95004845403176
73106,MOTO,4.9956821,5.0252154,-73.8733368,-74.0011074,00:40:00,0.6666666666666666,14.545440079022296,21.818160118533445
73890,AUTO,4.9956821,5.0252154,-73.8733368,-74.0011074,00:30:00,0.5,14.545440079022296,29.09088015804459
74459,INTERMUNICIPAL,4.9956821,5.0252154,-73.8733368,-74.0011074,00:29:00,0.48333333333333334,14.545440079022296,30.094013956597852
74919,TPC-SITP,4.9956821,5.0252154,-73.8733368,-74.0011074,01:00:00,1.0,14.545440079022296,14.545440079022296
74980,INTERMUNICIPAL,4.9956821,5.0252154,-73.8733368,-74.0011074,02:17:00,2.283333333333333,14.545440079022296,6.370265728038962
75279,TPC-SITP,4.9956821,5.0252154,-73.8733368,-74.0011074,00:45:00,0.75,14.545440079022296,19.393920105363062
75701,MOTO,4.7335737,5.0252154,-74.2643772,-74.0011074,01:20:00,1.3333333333333333,43.665719724921985,32.74928979369149
75838,INTERMUNICIPAL,4.9956821,5.0252154,-73.8733368,-74.0011074,00:45:00,0.75,14.545440079022296,19.393920105363062
75980,INTERMUNICIPAL,4.9956821,5.0252154,-73.8733368,-74.0011074,00:30:00,0.5,14.545440079022296,29.09088015804459
75995,INTERMUNICIPAL,4.9956821,5.0252154,-73.8733368,-74.0011074,01:20:00,1.3333333333333333,14.545440079022296,10.909080059266723
76191,"BICICLETA, BICICLETA CON MOTOR",4.9956821,5.0252154,-73.8733368,-74.0011074,01:00:00,1.0,14.545440079022296,14.545440079022296
76400,AUTO,4.9956821,5.0252154,-73.8733368,-74.0011074,02:00:00,2.0,14.545440079022296,7.272720039511148
76980,AUTO,4.8160984,5.0252154,-74.3536111,-74.0011074,02:26:00,2.4333333333333336,45.501603820564085,18.699289241327705
